tasks,scenario_seed,algorithm_seed,method,comparison,metric,difference,energy_tolerance_j
50,49,100,fixed_task_route,stage2_minus_stage1,normalized_cpu,0,2.1862956104221922
50,49,100,fixed_task_route,stage2_minus_stage1,energy_j,1.8383112967712805,2.1862956104221922
50,49,100,fixed_task_route,stage2_minus_stage1,mean_delay_s,-0.2714670084382078,2.1862956104221922
50,49,100,fixed_task_route,stage2_minus_stage1,p95_delay_s,-0.6031415781126839,2.1862956104221922
50,49,100,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,0.21360638508019747,2.1862956104221922
50,49,100,full,stage2_minus_stage1,normalized_cpu,-1.1519957367790543,1.6164444816149623
50,49,100,full,stage2_minus_stage1,energy_j,1.331603611150058,1.6164444816149623
50,49,100,full,stage2_minus_stage1,mean_delay_s,2.8577571594010465,1.6164444816149623
50,49,100,full,stage2_minus_stage1,p95_delay_s,15.310373566474539,1.6164444816149623
50,49,100,full,stage2_minus_stage1,min_deadline_slack_s,-1.3884290979149227e-06,1.6164444816149623
50,49,101,fixed_contacts,stage2_minus_stage1,normalized_cpu,0,1.6482183217530104
50,49,101,fixed_contacts,stage2_minus_stage1,energy_j,1.3915074934775475,1.6482183217530104
50,49,101,fixed_contacts,stage2_minus_stage1,mean_delay_s,-0.1794918653502009,1.6482183217530104
50,49,101,fixed_contacts,stage2_minus_stage1,p95_delay_s,-0.691796524249412,1.6482183217530104
50,49,101,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,0.13334693636721795,1.6482183217530104
50,49,101,fixed_task_route,stage2_minus_stage1,normalized_cpu,0,2.1862956104221922
50,49,101,fixed_task_route,stage2_minus_stage1,energy_j,1.8383112967712805,2.1862956104221922
50,49,101,fixed_task_route,stage2_minus_stage1,mean_delay_s,-0.2714670084382078,2.1862956104221922
50,49,101,fixed_task_route,stage2_minus_stage1,p95_delay_s,-0.6031415781126839,2.1862956104221922
50,49,101,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,0.21360638508019747,2.1862956104221922
50,49,101,full,stage2_minus_stage1,normalized_cpu,-1.155790079601512,1.6030441276561287
50,49,101,full,stage2_minus_stage1,energy_j,1.3374122805253137,1.6030441276561287
50,49,101,full,stage2_minus_stage1,mean_delay_s,2.615701510863232,1.6030441276561287
50,49,101,full,stage2_minus_stage1,p95_delay_s,-0.4520542079037,1.6030441276561287
50,49,101,full,stage2_minus_stage1,min_deadline_slack_s,2.909839281528548e-06,1.6030441276561287
50,49,102,fixed_contacts,stage2_minus_stage1,normalized_cpu,0,1.6606316008167727
50,49,102,fixed_contacts,stage2_minus_stage1,energy_j,1.3994285207008943,1.6606316008167727
50,49,102,fixed_contacts,stage2_minus_stage1,mean_delay_s,-0.21929070082012458,1.6606316008167727
50,49,102,fixed_contacts,stage2_minus_stage1,p95_delay_s,-0.4762234359177455,1.6606316008167727
50,49,102,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,0.1510245935839407,1.6606316008167727
50,49,102,fixed_task_route,stage2_minus_stage1,normalized_cpu,0,2.1862956104221922
50,49,102,fixed_task_route,stage2_minus_stage1,energy_j,1.8383112967712805,2.1862956104221922
50,49,102,fixed_task_route,stage2_minus_stage1,mean_delay_s,-0.2714670084382078,2.1862956104221922
50,49,102,fixed_task_route,stage2_minus_stage1,p95_delay_s,-0.6031415781126839,2.1862956104221922
50,49,102,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,0.21360638508019747,2.1862956104221922
50,49,102,full,stage2_minus_stage1,normalized_cpu,-1.2891050266159176,1.5884732629824572
50,49,102,full,stage2_minus_stage1,energy_j,1.3184055612946395,1.5884732629824572
50,49,102,full,stage2_minus_stage1,mean_delay_s,4.112471911570509,1.5884732629824572
50,49,102,full,stage2_minus_stage1,p95_delay_s,-0.2627703957948029,1.5884732629824572
50,49,102,full,stage2_minus_stage1,min_deadline_slack_s,3.7160697274885024e-07,1.5884732629824572
50,50,100,fixed_contacts,stage2_minus_stage1,normalized_cpu,-0.6742220649499422,1.8674699355989917
50,50,100,fixed_contacts,stage2_minus_stage1,energy_j,1.86531463402207,1.8674699355989917
50,50,100,fixed_contacts,stage2_minus_stage1,mean_delay_s,1.9169323152213167,1.8674699355989917
50,50,100,fixed_contacts,stage2_minus_stage1,p95_delay_s,-0.0003379872185291788,1.8674699355989917
50,50,100,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,0.0001259878699784167,1.8674699355989917
50,50,100,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.6082113317366866,2.1808162475146267
50,50,100,fixed_task_route,stage2_minus_stage1,energy_j,1.8229526923969388,2.1808162475146267
50,50,100,fixed_task_route,stage2_minus_stage1,mean_delay_s,0.7702260791224944,2.1808162475146267
50,50,100,fixed_task_route,stage2_minus_stage1,p95_delay_s,-0.9013884676361386,2.1808162475146267
50,50,100,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,6.026926655522402e-07,2.1808162475146267
50,50,100,full,stage2_minus_stage1,normalized_cpu,0,1.8836290093974386
50,50,100,full,stage2_minus_stage1,energy_j,1.578494459419744,1.8836290093974386
50,50,100,full,stage2_minus_stage1,mean_delay_s,-0.43298967122683507,1.8836290093974386
50,50,100,full,stage2_minus_stage1,p95_delay_s,-0.7699608663087361,1.8836290093974386
50,50,100,full,stage2_minus_stage1,min_deadline_slack_s,0.13613455479315917,1.8836290093974386
50,50,101,fixed_contacts,stage2_minus_stage1,normalized_cpu,-0.6742095774986152,1.8491587236467428
50,50,101,fixed_contacts,stage2_minus_stage1,energy_j,1.8446587471989915,1.8491587236467428
50,50,101,fixed_contacts,stage2_minus_stage1,mean_delay_s,1.9499667801621001,1.8491587236467428
50,50,101,fixed_contacts,stage2_minus_stage1,p95_delay_s,-0.000522741085603684,1.8491587236467428
50,50,101,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,0.00012280205416459467,1.8491587236467428
50,50,101,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.6082113317366866,2.1808162475146267
50,50,101,fixed_task_route,stage2_minus_stage1,energy_j,1.8229526923969388,2.1808162475146267
50,50,101,fixed_task_route,stage2_minus_stage1,mean_delay_s,0.7702260791224944,2.1808162475146267
50,50,101,fixed_task_route,stage2_minus_stage1,p95_delay_s,-0.9013884676361386,2.1808162475146267
50,50,101,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,6.026926655522402e-07,2.1808162475146267
50,50,101,full,stage2_minus_stage1,normalized_cpu,-0.3444396673210002,1.9064011658375688
50,50,101,full,stage2_minus_stage1,energy_j,1.6008893543912563,1.9064011658375688
50,50,101,full,stage2_minus_stage1,mean_delay_s,-0.08346724924427917,1.9064011658375688
50,50,101,full,stage2_minus_stage1,p95_delay_s,-0.8136215885975275,1.9064011658375688
50,50,101,full,stage2_minus_stage1,min_deadline_slack_s,7.840804983061389e-08,1.9064011658375688
50,50,102,fixed_contacts,stage2_minus_stage1,normalized_cpu,-0.6986972098029368,1.8173627417207003
50,50,102,fixed_contacts,stage2_minus_stage1,energy_j,1.7920293878414668,1.8173627417207003
50,50,102,fixed_contacts,stage2_minus_stage1,mean_delay_s,3.738389338075649,1.8173627417207003
50,50,102,fixed_contacts,stage2_minus_stage1,p95_delay_s,-0.003194481767536672,1.8173627417207003
50,50,102,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,0.0010507848821248444,1.8173627417207003
50,50,102,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.6082113317366866,2.1808162475146267
50,50,102,fixed_task_route,stage2_minus_stage1,energy_j,1.8229526923969388,2.1808162475146267
50,50,102,fixed_task_route,stage2_minus_stage1,mean_delay_s,0.7702260791224944,2.1808162475146267
50,50,102,fixed_task_route,stage2_minus_stage1,p95_delay_s,-0.9013884676361386,2.1808162475146267
50,50,102,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,6.026926655522402e-07,2.1808162475146267
50,50,102,full,stage2_minus_stage1,normalized_cpu,-0.41641108799161536,1.7356594058693402
50,50,102,full,stage2_minus_stage1,energy_j,1.4474448784894776,1.7356594058693402
50,50,102,full,stage2_minus_stage1,mean_delay_s,0.09289430209619809,1.7356594058693402
50,50,102,full,stage2_minus_stage1,p95_delay_s,-0.3352865020996205,1.7356594058693402
50,50,102,full,stage2_minus_stage1,min_deadline_slack_s,1.9600662426455528e-07,1.7356594058693402
50,51,100,fixed_contacts,stage2_minus_stage1,normalized_cpu,-0.67415137618494,1.901256959244619
50,51,100,fixed_contacts,stage2_minus_stage1,energy_j,1.5821951329126023,1.901256959244619
50,51,100,fixed_contacts,stage2_minus_stage1,mean_delay_s,0.19819299200972296,1.901256959244619
50,51,100,fixed_contacts,stage2_minus_stage1,p95_delay_s,-0.3526017680922564,1.901256959244619
50,51,100,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,-1.4801315728618647e-08,1.901256959244619
50,51,100,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.4368212553271117,2.3370657239951393
50,51,100,fixed_task_route,stage2_minus_stage1,energy_j,1.9248033946496435,2.3370657239951393
50,51,100,fixed_task_route,stage2_minus_stage1,mean_delay_s,-0.38377476055902093,2.3370657239951393
50,51,100,fixed_task_route,stage2_minus_stage1,p95_delay_s,-0.5449673466154081,2.3370657239951393
50,51,100,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,8.510854740961804e-07,2.3370657239951393
50,51,100,full,stage2_minus_stage1,normalized_cpu,-0.6544667291329257,2.0998917232855527
50,51,100,full,stage2_minus_stage1,energy_j,1.7635538611211814,2.0998917232855527
50,51,100,full,stage2_minus_stage1,mean_delay_s,-0.0015790509418707188,2.0998917232855527
50,51,100,full,stage2_minus_stage1,p95_delay_s,-1.621958768758077,2.0998917232855527
50,51,100,full,stage2_minus_stage1,min_deadline_slack_s,-1.043918018694967e-08,2.0998917232855527
50,51,101,fixed_contacts,stage2_minus_stage1,normalized_cpu,-0.6731611031802354,2.0296603951843517
50,51,101,fixed_contacts,stage2_minus_stage1,energy_j,1.6926832625176758,2.0296603951843517
50,51,101,fixed_contacts,stage2_minus_stage1,mean_delay_s,0.21240953213757052,2.0296603951843517
50,51,101,fixed_contacts,stage2_minus_stage1,p95_delay_s,-0.2720616519989676,2.0296603951843517
50,51,101,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,2.621467274366296e-07,2.0296603951843517
50,51,101,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.4368212553271117,2.3370657239951393
50,51,101,fixed_task_route,stage2_minus_stage1,energy_j,1.9248033946496435,2.3370657239951393
50,51,101,fixed_task_route,stage2_minus_stage1,mean_delay_s,-0.38377476055902093,2.3370657239951393
50,51,101,fixed_task_route,stage2_minus_stage1,p95_delay_s,-0.5449673466154081,2.3370657239951393
50,51,101,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,8.510854740961804e-07,2.3370657239951393
50,51,101,full,stage2_minus_stage1,normalized_cpu,-0.5140208466264227,2.1007101452661097
50,51,101,full,stage2_minus_stage1,energy_j,2.1007015841896646,2.1007101452661097
50,51,101,full,stage2_minus_stage1,mean_delay_s,0.4992955658705114,2.1007101452661097
50,51,101,full,stage2_minus_stage1,p95_delay_s,1.454159939839883e-05,2.1007101452661097
50,51,101,full,stage2_minus_stage1,min_deadline_slack_s,-6.516980761261948e-06,2.1007101452661097
50,51,102,fixed_contacts,stage2_minus_stage1,normalized_cpu,-0.6712447681663367,1.951815905151347
50,51,102,fixed_contacts,stage2_minus_stage1,energy_j,1.5839992468827404,1.951815905151347
50,51,102,fixed_contacts,stage2_minus_stage1,mean_delay_s,-0.0012711011183625942,1.951815905151347
50,51,102,fixed_contacts,stage2_minus_stage1,p95_delay_s,-1.719068485498326,1.951815905151347
50,51,102,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,-1.924553316712263e-08,1.951815905151347
50,51,102,fixed_task_route,stage2_minus_stage1,normalized_cpu,-0.4368212553271117,2.3370657239951393
50,51,102,fixed_task_route,stage2_minus_stage1,energy_j,1.9248033946496435,2.3370657239951393
50,51,102,fixed_task_route,stage2_minus_stage1,mean_delay_s,-0.38377476055902093,2.3370657239951393
50,51,102,fixed_task_route,stage2_minus_stage1,p95_delay_s,-0.5449673466154081,2.3370657239951393
50,51,102,fixed_task_route,stage2_minus_stage1,min_deadline_slack_s,8.510854740961804e-07,2.3370657239951393
50,51,102,full,stage2_minus_stage1,normalized_cpu,-0.1918443399703179,1.9384044221566
50,51,102,full,stage2_minus_stage1,energy_j,1.6172554492368363,1.9384044221566
50,51,102,full,stage2_minus_stage1,mean_delay_s,-0.31529568541103004,1.9384044221566
50,51,102,full,stage2_minus_stage1,p95_delay_s,-1.5425765667278597,1.9384044221566
50,51,102,full,stage2_minus_stage1,min_deadline_slack_s,-1.248857302016404e-07,1.9384044221566
50,52,101,fixed_contacts,stage2_minus_stage1,normalized_cpu,-0.7096552632988711,1.9376761146356034
50,52,101,fixed_contacts,stage2_minus_stage1,energy_j,1.9376716285478324,1.9376761146356034
50,52,101,fixed_contacts,stage2_minus_stage1,mean_delay_s,2.9314115573060064,1.9376761146356034
50,52,101,fixed_contacts,stage2_minus_stage1,p95_delay_s,-4.688717120870933e-05,1.9376761146356034
50,52,101,fixed_contacts,stage2_minus_stage1,min_deadline_slack_s,-8.059265610427246e-08,1.9376761146356034
50,52,101,full,stage2_minus_stage1,normalized_cpu,-0.6182174660065869,1.8006342562545075
50,52,101,full,stage2_minus_stage1,energy_j,0.22513668626197614,1.8006342562545075
50,52,101,full,stage2_minus_stage1,mean_delay_s,0.38772622733193884,1.8006342562545075
50,52,101,full,stage2_minus_stage1,p95_delay_s,-0.06367213633996016,1.8006342562545075
